157  abs_mut=27175 depth=14 abs_father_mut=18342 index_father_mut=156 num_children_mut=1 number_cells=0
158  abs_mut=34871 depth=15 abs_father_mut=27175 index_father_mut=157 num_children_mut=1 number_cells=0
159  abs_mut=128950 depth=16 abs_father_mut=34871 index_father_mut=158 num_children_mut=0 number_cells=1
160  abs_mut=1073770793 depth=15 abs_father_mut=1073743734 index_father_mut=117 num_children_mut=1 number_cells=0
161  abs_mut=95967 depth=16 abs_father_mut=1073770793 index_father_mut=160 num_children_mut=0 number_cells=1
162  abs_mut=3001 depth=9 abs_father_mut=508 index_father_mut=48 num_children_mut=1 number_cells=0
163  abs_mut=6158 depth=10 abs_father_mut=3001 index_father_mut=162 num_children_mut=1 number_cells=0
164  abs_mut=9303 depth=11 abs_father_mut=6158 index_father_mut=163 num_children_mut=1 number_cells=0
165  abs_mut=71896 depth=12 abs_father_mut=9303 index_father_mut=164 num_children_mut=1 number_cells=0
166  abs_mut=90494 depth=13 abs_father_mut=71896 index_father_mut=165 num_children_mut=1 number_cells=0
167  abs_mut=1073839111 depth=14 abs_father_mut=90494 index_father_mut=166 num_children_mut=1 number_cells=0
168  abs_mut=1073839112 depth=15 abs_father_mut=1073839111 index_father_mut=167 num_children_mut=0 number_cells=1
169  abs_mut=302 depth=6 abs_father_mut=1073741990 index_father_mut=45 num_children_mut=1 number_cells=0
170  abs_mut=1073742522 depth=7 abs_father_mut=302 index_father_mut=169 num_children_mut=3 number_cells=0
171  abs_mut=1071 depth=8 abs_father_mut=1073742522 index_father_mut=170 num_children_mut=1 number_cells=0
172  abs_mut=1958 depth=9 abs_father_mut=1071 index_father_mut=171 num_children_mut=1 number_cells=0
173  abs_mut=2924 depth=10 abs_father_mut=1958 index_father_mut=172 num_children_mut=1 number_cells=0
174  abs_mut=1073758008 depth=11 abs_father_mut=2924 index_father_mut=173 num_children_mut=1 number_cells=0
175  abs_mut=33641 depth=12 abs_father_mut=1073758008 index_father_mut=174 num_children_mut=1 number_cells=0
176  abs_mut=36826 depth=13 abs_father_mut=33641 index_father_mut=175 num_children_mut=1 number_cells=0
177  abs_mut=1073783058 depth=14 abs_father_mut=36826 index_father_mut=176 num_children_mut=1 number_cells=0
178  abs_mut=1073794562 depth=15 abs_father_mut=1073783058 index_father_mut=177 num_children_mut=0 number_cells=1
179  abs_mut=692 depth=8 abs_father_mut=1073742261 index_father_mut=47 num_children_mut=1 number_cells=0
180  abs_mut=1263 depth=9 abs_father_mut=692 index_father_mut=179 num_children_mut=1 number_cells=0
181  abs_mut=5621 depth=10 abs_father_mut=1263 index_father_mut=180 num_children_mut=1 number_cells=0
182  abs_mut=22855 depth=11 abs_father_mut=5621 index_father_mut=181 num_children_mut=1 number_cells=0
183  abs_mut=72077 depth=12 abs_father_mut=22855 index_father_mut=182 num_children_mut=1 number_cells=0
